snt_id,sdr,sdr_i,si-snr,si-snr_i
1188-133604-0004_672-122797-0017.wav,17.67868995666504,17.511526107788086,16.833505630493164,16.850677490234375
1188-133604-0005_1580-141083-0020.wav,20.956897735595703,20.84112548828125,20.593957901000977,20.61907958984375
1188-133604-0005_4446-2271-0003.wav,18.489391326904297,18.40874671936035,17.867542266845703,18.0428524017334
1188-133604-0005_6829-68769-0036.wav,19.611515045166016,19.398584365844727,19.26294708251953,19.34537696838379
1188-133604-0010_5105-28240-0024.wav,20.93421173095703,20.903663635253906,20.512096405029297,20.558979034423828
1188-133604-0010_61-70970-0014.wav,18.427417755126953,18.2159366607666,17.778839111328125,17.85999870300293
1188-133604-0011_4970-29095-0008.wav,20.050090789794922,19.7978572845459,19.083484649658203,19.274822235107422
1188-133604-0012_5105-28241-0016.wav,20.16908073425293,20.12827491760254,18.711708068847656,18.75943374633789
1188-133604-0013_2830-3980-0004.wav,20.866832733154297,20.84563446044922,20.171367645263672,20.259584426879883
1188-133604-0014_4992-23283-0016.wav,18.111465454101562,17.42137908935547,16.109914779663086,15.964591979980469
1188-133604-0016_7176-88083-0018.wav,17.76398277282715,17.561113357543945,17.57915496826172,17.450923919677734
1188-133604-0017_5142-33396-0001.wav,21.299833297729492,21.24813461303711,20.472930908203125,20.51937484741211
1188-133604-0017_6930-81414-0007.wav,19.832561492919922,19.588966369628906,18.610210418701172,18.58922004699707
1188-133604-0018_1089-134686-0026.wav,17.621015548706055,17.1081600189209,16.936607360839844,16.87816619873047
1188-133604-0019_7127-75947-0006.wav,21.368120193481445,21.2625789642334,21.034265518188477,21.06199836730957
1188-133604-0019_8224-274384-0008.wav,19.938438415527344,19.853097915649414,19.63282585144043,19.602846145629883
1188-133604-0020_1320-122617-0025.wav,20.724756240844727,20.628494262695312,20.365558624267578,20.433671951293945
1188-133604-0020_3729-6852-0044.wav,21.57963752746582,21.492549896240234,21.05272674560547,21.026840209960938
1188-133604-0022_1221-135767-0019.wav,21.135536193847656,20.990802764892578,20.672584533691406,20.70917510986328
1188-133604-0022_1320-122617-0034.wav,19.94146728515625,19.902999877929688,19.671554565429688,19.71591567993164
1188-133604-0025_121-121726-0010.wav,22.78689193725586,22.542465209960938,22.52364730834961,22.453107833862305
1188-133604-0025_4992-23283-0016.wav,18.611183166503906,18.22908592224121,17.367069244384766,17.369680404663086
1188-133604-0025_6829-68769-0005.wav,21.142288208007812,21.064895629882812,20.902202606201172,20.96150779724121
1188-133604-0027_4446-2275-0032.wav,23.242584228515625,23.192216873168945,22.36893081665039,22.50709342956543
1188-133604-0029_1284-1180-0013.wav,21.89562225341797,21.75627326965332,21.244686126708984,21.325363159179688
1188-133604-0029_4077-13751-0006.wav,19.777734756469727,19.56145477294922,18.787216186523438,18.69382095336914
1188-133604-0029_8455-210777-0003.wav,20.427845001220703,20.289669036865234,20.116474151611328,20.10860252380371
